ESTIMATE NO,VEHICLE,AMOUNT,ORDER
927,GJ06GA-2904,3350,
928,GJ06GA-0487,3350,
929,GJ06G-6647,3350,
930,GJ06GA-0421,3350,
931,GJ06GA-2766,3350,
932,GJ06GA-0498,3350,
933,GJ06G-6736,3350,
934,GJ06GA-0221,3280,
935,GJ06G-6385,3450,
936,GJ06GA-3857,4030,
942,GJ06GA-2750,4100,
944,"for Various Vehicles of
Bhili Fire Station, for Panigate Fire Station",4850,
946,"GJ06G-0132, GJ06GA-3495, GJ06G-6733",4305,
947,GJ06GA-2582,3350,
948,GJ06GA-3489,3350,
949,GJ06G-6641,3720,
950,GJ06G-1560,3350,
951,GJ06GA-0346,3280,
952,GJ06GA-3287,3280,
953,GJ06GA-0402,3350,
954,GJ06GA-2842,4980,
955,GJ06GA-2659,3350,
956,GJ06G-6365,3350,
957,GJ06GA-2959,3280,
958,GJ06G-6383,3450,
959,GJ06GA-0374,3350,
960,GJ06GA-6648,3720,
961,GJ06GA-3258,3350,
962,GJ06GA-0245,3350,
963,GJ06G-6519,3350,
964,GJ06GA-2585,3350,
965,GJ06GA-2521,3280,
966,GJ06GA-3069,3280,
967,GJ06T-5102,3320,
972,for Petrol Tree Cutter,4480,
973,for Petrol Tree Cutter,3580,
975,"GJ06G-6737, G06GA-0402",3950,
976,"GJ06GA-2973, GJ06GA-3205",4610,
978,"GJ06G-6518, GJ06G-932",4250,
983,For Various Vehicles of Panigate,3260,
984,For Various Vehicles of Panigate,3260,
985,GJ06GA-2750,4260,
987,GJ06T-5102,4800,
988,"GJ06GA-2750, GJ06G-6519, GJ06T-5102",4520,
991,"GJ06G-6384, GJ06GA-2550",4710,
992,GJ06G-932,4220,
998,GJ06G-6519,3870,
1000,GJ06G-6384,4420,
1004,GJ06G-6735,2440,
1006,GJ06GA-3489,4980,
1007,"GJ06GA-0368, GJ06G-6382",2550,
1011,For OBM Machine (GIDC & Bhily),2840,
1013,GJ06GA-3480,4220,
1015,GJ06G-6733,3115,
1017,For Badamdi Baug Fire Station,3610,
1019,GJ06GA-0132,4190,
1022,"GJ06G-6382, GJ06GA-2900",4400,
1023,GJ06GA-0402,3260,
1026,GJ06GA-0402,3110,
1027,For Tree Cutter (Panigate),4900,
1035,"GJ06T-5102, GJ06GA-0242",2660,
1036,GJ06GA-0185,4140,
1039,"GJ06GA-0230, For Badamdibaug FS, GJ06GA-2521, GJ06GA-3380",4620,
1040,"GJ06GA-0346, GJ06G-6737",4930,
1041,Various Vehicles,4050,
1042,For Panigate Store,3260,
1044,GJ06GA-0481,3430,
1047,"GJ06G-6736, GJ06G-6735",3530,
1057,GJ06GA-6736,3290,
1061,GJ06G-6735,4360,
1064,"GJ06G-6733, GJ06GA-3182",4250,
1067,For Panigate Store,3260,
1068,For Panigate Store,3260,
1069,GJ06G-6385,4980,
1070,GJ06G-6385,4060,
1071,GJ06GA-0414,4250,
1072,GJ06GA-2750,4250,
1073,GJ06GA-2750,4840,
1076,GJ06GA-3205,4320,
1080,"GJ06GA-0326, GJ06GA-2744, GJ06GA-2856",4530,
1081,"GJ06G-6736, GJ06GA-3205",4920,
1084,GJ06G-6737,4320,
1086,For Panigate F/S Store,3260,
1087,GJ06GA-2585,4950,
1088,"GJ06GA-0132, GJ06G-6737, GJ06G-6382",4750,
1093,For Panigate F/S Store,3820,
1096,GJ06GA-0226,4720,
1097,GJ06GA-0226,4770,
1098,GJ06GA-0226,4320,
1103,For Various Vehicles of Vadivadi F/S,4050,
1104,GJ06GA-0487,4900,
1105,GJ06G-6642,3880,
1106,GJ06G-6641,1980,
1107,GJ06G-6643,3620,
1108,For Badamdibaug Fire Office,4950,
1110,For Panigate Store,3260,
1111,For Panigate Store,3260,
1113,GJ06G-6643,4680,
1115,GJ06GA-0185,4980,
1116,GJ06GA-2585,1920,
1117,GJ06GA-0346,4950,
1118,For Dandia Bazaar F/S,3350,
1119,For Dandia Bazaar F/S,3350,
1120,For Gajarawadi F/S,3350,
1121,For Gajarawadi F/S,3350,
1122,For TP-13 F/S,3350,
1123,For TP-13 F/S,3350,
1124,For Vadiwadi F/S,3350,
1125,For Vadiwadi F/S,3940,
1126,For Bhayli F/S,4040,
1127,For Bhayli F/S,4630,
1128,For Panigate F/S,4630,
1129,For Panigate F/S,4630,
1130,For Panigate F/S,2760,
1131,For GIDC F/S,4040,
1132,For GIDC F/S,4040,
1133,For GIDC F/S,2560,
1134,"GJ06GA-0421, GJ06GA-0169",4680,
1139,"GJ06GA-0331, GJ06GA-0414",4740,
1142,"GJ06GA-0228, GJ06GA-3480, GJ06G-3489",4370,
1144,"GJ06GA-0487, GJ06G-6390",4280,
1145,"GJ06GA-0498, GJ06G-6734",4330,
1146,GJ06G-6734,4320,
1149,GJ06G-6648,3450,
1150,GJ06G-6365,3450,
1151,GJ06GA-0322,4950,
1152,GJ06GA-0185,4980,
1153,GJ06G-6647,4320,
1154,GJ06G-6382,4620,
1156,GJ06G-6531,4950,
1157,GJ06G-6531,4980,
1158,GJ06G-6518,4950,
1159,GJ06G-6518,4950,
1160,GJ06G-6737,3260,
1162,New Vehicle,4980,
1163,GJ06T-5102,4440,
1164,GJ06GA-2999,4440,
1167,"GJ06T-5102, GJ06G-6646, GJ06GA-0221",4560,
1171,"GJ06G-6736, GJ06GA-3205",4320,
1172,"GJ06GA-0487, GJ06GA-3205, GJ06GA-2585",4940,
1173,GJ06GA-0270,4860,
1174,GJ06GA-0270,4860,
1175,GJ06GA-2856,4860,
1177,"GJ06GA-0402, GJ06GA-0270",4240,
1178,"GJ06GA-0270, GJ06GA-0402",4500,
1183,GJ06GA-0245,4860,
1185,GJ06G-6519,3410,
1187,GJ06G-6519,3560,
1188,"GJ06GA-2750, For GIDC F/S",4990,
1189,GJ06GA-0245,4860,
1190,"GJ06GA-0402, GJ06GA-0245",4580,
1192,GJ06GA-0331,4880,
1193,"GJ06GA-0169, For Dandia Bazar Fire Station",4600,
1194,For Panigate Fire Store,3260,
1195,For Panigate Fire Store,3260,
1196,GJ06GA-0230,4880,
1198,"GJ06GA-3205, GJ06GA-6735, GJ06G-6520",4840,
1199,GJ06G-6520,4220,
1200,"GJ06G-6735, GJ06G-6736",4810,
1201,GJ06G-6646,4920,
1206,GJ06G-6521,4860,
1208,"GJ06G-6736, GJ06GA-2586",4240,
1212,GJ06G-6737,4250,
1213,"GJ06GA-3205, GJ06GA-3784",4680,
1214,"GJ06GA-3213, GJ06GA-3784, GJ06G-0932",4840,
1216,GJ06GA-2959,2950,
1218,"GJ06G-6520, GJ06G-6531",3900,
1219,GJ06G-6520,4950,
1220,GJ06G-6520,4950,
1221,GJ06G-6737,4680,
1222,GJ06GA-2779,4860,
1223,GJ06GA-2779,4860,
1224,GJ06GA-0487,4860,
1225,GJ06GA-0487,4860,
1226,GJ06GA-0498,4840,
1228,GJ06GA-0421,3750,
1229,GJ06GA-0421,2780,
1230,GJ06GA-2904,3550,
1231,"GJ06GA-2904, GJ06G-1560",4160,
1232,"Various Vehicles, Dandiabazar Fire Station",3950,
1233,Various Vehicles,4350,
1234,Various Vehicles,4240,
1235,Various Vehicles,3260,
1237,GJ06GA-0402,3880,
1238,GJ06GA-0402,4980,
1241,GJ06GA-0190,4860,
1242,GJ06GA-0190,4860,
3,GJ06G-6376,4800,
5,"For Panigate Fire Store, For Vasna Bhayli Fire Station",4875,
6,"For Panigate Fire Store, For Badamdibaug Fire Station",4730,
7,For Panigate Fire Store,3260,
9,For Dandiabazar Fire Station,3440,
11,"GJ06GA-0270, GJ06G-6735",4860,
12,GJ06GA-0322,4950,
13,"GJ06GA-3380, GJ06GA-3258, GJ06GA-0414",4910,
14,GJ06GA-2598,4790,
15,GJ06GA-2598,4525,
17,GJ06GA-0230,4860,
19,GJ06GA-0352,4860,
21,GJ06G-6363,4970,
23,"GJ06GA-2842, GJ06GA-0421, GJ06GA-0130",4700,
25,"GJ06GA-2971, GJ06GA-3069",4840,
29,"GJ06GA-0487, GJ06G-6648",4560,
30,GJ06GA-0374,4860,
32,"GJ06G-6482, GJ06GA-0245",4500,
33,For TP-13 Fire Station,3420,
35,GJ06G-0932,3885,
38,For Dandiabazar Fire Station,3190,
39,GJ06GA-0374,4950,
40,"GJ06GA-0190, GJ06GA-0374",4830,
41,"GJ06GA-0190, GJ06GA-2750",3880,
43,For Panigate Store,3260,
44,For Panigate Store,3260,
45,For Panigate Store,3260,
46,For Panigate Store,3260,
47,GBF-8573,4260,
48,GJ06GA-0190,4370,
